strategy, board num, time (ns), ticks
minrisk,64,100,26969271
minrisk,65,30,801379
minrisk,66,20,270496
minrisk,67,20,2838543
minrisk,68,16,748967
minrisk,69,34,1471492
minrisk,70,20,1301389
minrisk,71,20,2061766
minrisk,72,15,117255
minrisk,73,15,1401985
minrisk,74,20,264718
minrisk,75,30,1737849
minrisk,76,25,3709883
minrisk,77,45,8922675
minrisk,78,35,2604287
minrisk,79,65,8649278
minrisk,80,13,485159
minrisk,81,27,745659
minrisk,82,25,1089692
minrisk,83,20,972520
minrisk,84,50,5883511
minrisk,85,505,118800376
minrisk,86,25,1240188
minrisk,87,15,125798
minrisk,88,35,4536914
minrisk,89,75,11803829
minrisk,90,45,5921159
minrisk,91,25,300934
minrisk,92,100,20983891
minrisk,93,160,36954422
minrisk,94,20,476425
minrisk,95,40,4032851
minrisk,96,15,434026
minrisk,97,25,1724103
minrisk,98,125,27274671
minrisk,99,85,19134871
  ,,,
strategy, board num, time (ns), ticks
minrisk,0,565,25698636
minrisk,1,1626,164704095
