strategy, size, time (ms), ticksnull,3,530,3
null, 3, 1131,19,
null, 5, 785,27,
null, 7, 929,35,
null, 9, 978,43,
null, 11, 1166,51,
null, 13, 907,59,
null, 15, 909,67,
null, 17, 772,75,
null, 19, 626,83,
null, 21, 941,91,
null, 23, 639,99,
null, 25, 846,107,
null, 27, 803,115,
null, 29, 794,123,
null, 31, 863,131,
null, 33, 1346,139,
null, 35, 1417,147,
null, 37, 1100,155,
null, 39, 1036,163,
null, 41, 1057,171,
null, 43, 1047,179,
null, 45, 996,187,
null, 47, 1253,195,
null, 49, 1147,203,
null, 51, 1056,211,
null, 53, 1039,219,
null, 55, 1252,227,
null, 57, 1205,235,
null, 59, 1201,243,
null, 61, 1014,251,
null, 63, 1255,259,
null, 65, 1052,267,
null, 67, 1131,275,
null, 69, 1228,283,
null, 71, 1288,291,
null, 73, 1191,299,
null, 75, 1264,307,
null, 77, 1274,315,
null, 79, 1235,323,
null, 81, 1365,331,
null, 83, 1268,339,
null, 85, 1339,347,
null, 87, 1314,355,
null, 89, 1624,363,
null, 91, 2363,371,
null, 93, 1380,379,
null, 95, 1893,387,
null, 97, 1955,395,
null, 99, 2527,403,
null, 3, 1222,19,
null, 5, 976,27,
null, 7, 863,35,
null, 9, 892,43,
null, 11, 1444,51,
null, 13, 1115,59,
null, 15, 1569,67,
null, 17, 1438,75,
null, 19, 1738,83,
null, 21, 1215,91,
null, 23, 1367,99,
null, 25, 1861,107,
null, 27, 2138,115,
null, 29, 1635,123,
null, 31, 1677,131,
null, 33, 1600,139,
null, 35, 1950,147,
null, 37, 2796,155,
null, 39, 1780,163,
null, 41, 2267,171,
null, 43, 1581,179,
null, 45, 1970,187,
null, 47, 1610,195,
null, 49, 2231,203,
null, 51, 2365,211,
null, 53, 2810,219,
null, 55, 1291,227,
null, 57, 1534,235,
null, 59, 1511,243,
null, 61, 1536,251,
null, 63, 1338,259,
null, 65, 1346,267,
null, 67, 1518,275,
null, 69, 1388,283,
null, 71, 1289,291,
null, 73, 1297,299,
null, 75, 1380,307,
null, 77, 1511,315,
null, 79, 1453,323,
null, 81, 1585,331,
null, 83, 1426,339,
null, 85, 1380,347,
null, 87, 1747,355,
null, 89, 1692,363,
null, 91, 1721,371,
null, 93, 1625,379,
null, 95, 1846,387,
null, 97, 2194,395,
null, 99, 1838,403,
null, 101, 2002,411,
null, 103, 2168,419,
null, 105, 2254,427,
null, 107, 2352,435,
null, 109, 2247,443,
null, 111, 1831,451,
null, 113, 1912,459,
null, 115, 2322,467,
null, 117, 2148,475,
null, 119, 2379,483,
null, 121, 2572,491,
null, 123, 2544,499,
null, 125, 2311,507,
null, 127, 2701,515,
null, 129, 2389,523,
null, 131, 2369,531,
null, 133, 2327,539,
null, 135, 2882,547,
null, 137, 2616,555,
null, 139, 2360,563,
null, 141, 2617,571,
null, 143, 2223,579,
null, 145, 2346,587,
null, 147, 2682,595,
null, 149, 3269,603,
null, 151, 2500,611,
null, 153, 2425,619,
null, 155, 2637,627,
null, 157, 2699,635,
null, 159, 2764,643,
null, 161, 2363,651,
null, 163, 2573,659,
null, 165, 2402,667,
null, 167, 2408,675,
null, 169, 2616,683,
null, 171, 2415,691,
null, 173, 2745,699,
null, 175, 2948,707,
null, 177, 2705,715,
null, 179, 2644,723,
null, 181, 2781,731,
null, 183, 2704,739,
null, 185, 2466,747,
null, 187, 2425,755,
null, 189, 2662,763,
null, 191, 2877,771,
null, 193, 2754,779,
null, 195, 4076,787,
null, 197, 3169,795,
null, 199, 3285,803,
null, 201, 4041,811,
null, 203, 2947,819,
null, 205, 3065,827,
null, 207, 2890,835,
null, 209, 3812,843,
null, 211, 2900,851,
null, 213, 4110,859,
null, 215, 3066,867,
null, 217, 3605,875,
null, 219, 4121,883,
null, 221, 3243,891,
null, 223, 2978,899,
null, 225, 2950,907,
null, 227, 2961,915,
null, 229, 3043,923,
null, 231, 2898,931,
null, 233, 2824,939,
null, 235, 3112,947,
null, 237, 3185,955,
null, 239, 3056,963,
null, 241, 3285,971,
null, 243, 3612,979,
null, 245, 3953,987,
null, 247, 4149,995,
null, 249, 3349,1003,
null, 251, 3172,1011,
null, 253, 3463,1019,
null, 255, 4445,1027,
null, 257, 4206,1035,
null, 259, 3576,1043,
null, 261, 3811,1051,
null, 263, 3549,1059,
null, 265, 3713,1067,
null, 267, 3996,1075,
null, 269, 3949,1083,
null, 271, 4039,1091,
null, 273, 3795,1099,
null, 275, 3827,1107,
null, 277, 3477,1115,
null, 279, 4127,1123,
null, 281, 3877,1131,
null, 3, 992,19,
null, 5, 777,27,
null, 9, 1149,43,
null, 17, 1408,75,
null, 33, 1869,139,
null, 65, 2835,267,
null, 129, 4153,523,
null, 257, 4925,1035,
null, 513, 8167,2059,
null, 1025, 16851,4107,
null, 2049, 30106,8203,
null, 4097, 57304,16395,
null, 8193, 125534,32779,
null, 16385, 211983,65547,
null, 32769, 368779,131083,
null, 65537, 925154,262155,
