Algorithm, Turns, Exit Status,Ones,Twos,Threes,Tile Total (sum),,Algorithm, Turns, Exit Status,Ones,Twos,Threes,Tile Total (sum)
minrisk,2,2,2,0,0,2,,norisk,2,2,2,0,0,2
minrisk,8,1,5,2,1,12,,norisk,8,1,5,2,1,12
minrisk,2,2,1,0,0,1,,norisk,2,2,1,0,0,1
minrisk,13,1,10,3,0,16,,norisk,13,1,10,3,0,16
minrisk,1,2,0,1,0,2,,norisk,1,2,0,1,0,2
minrisk,17,2,13,4,0,21,,norisk,16,0,13,3,0,19
minrisk,8,2,6,1,1,11,,norisk,8,2,6,1,1,11
minrisk,3,2,2,0,1,5,,norisk,3,2,2,0,1,5
minrisk,8,1,6,0,2,12,,norisk,8,1,6,0,2,12
minrisk,7,1,5,0,2,11,,norisk,7,1,5,0,2,11
minrisk,11,1,7,4,0,15,,norisk,11,0,7,4,0,15
minrisk,1,2,1,0,0,1,,norisk,0,0,0,0,0,0
minrisk,6,2,5,0,1,8,,norisk,6,2,5,0,1,8
minrisk,6,2,5,0,0,5,,norisk,6,2,5,0,0,5
minrisk,6,2,6,0,0,6,,norisk,6,2,6,0,0,6
minrisk,11,2,9,1,0,11,,norisk,11,2,9,1,0,11
minrisk,2,1,0,0,2,6,,norisk,2,0,0,0,2,6
minrisk,1,2,1,0,0,1,,norisk,1,2,1,0,0,1
minrisk,8,1,6,0,2,12,,norisk,1,0,1,0,0,1
minrisk,2,2,2,0,0,2,,norisk,2,2,2,0,0,2
minrisk,15,1,12,2,1,19,,norisk,15,1,12,2,1,19
minrisk,6,2,5,0,1,8,,norisk,6,2,5,0,1,8
minrisk,8,2,7,0,1,10,,norisk,8,2,7,0,1,10
minrisk,2,2,2,0,0,2,,norisk,2,2,2,0,0,2
minrisk,16,1,12,4,0,20,,norisk,16,0,12,4,0,20
minrisk,3,1,1,0,2,7,,norisk,3,1,1,0,2,7
minrisk,11,2,9,2,0,13,,norisk,10,0,9,1,0,11
minrisk,18,1,15,1,2,23,,norisk,18,1,15,1,2,23
minrisk,18,1,14,3,1,23,,norisk,18,1,14,3,1,23
minrisk,17,2,13,2,1,20,,norisk,17,2,13,2,1,20
minrisk,16,2,12,2,1,19,,norisk,16,2,12,2,1,19
minrisk,11,2,8,3,0,14,,norisk,9,0,7,2,0,11
minrisk,16,2,14,0,1,17,,norisk,16,2,14,0,1,17
minrisk,7,2,6,0,1,9,,norisk,5,0,5,0,0,5
minrisk,14,2,13,0,1,16,,norisk,14,0,13,0,1,16
minrisk,8,1,6,0,2,12,,norisk,8,1,6,0,2,12
minrisk,13,1,11,0,2,17,,norisk,13,1,11,0,2,17
minrisk,7,2,5,1,1,10,,norisk,7,2,5,1,1,10
minrisk,15,1,11,4,0,19,,norisk,15,1,11,4,0,19
minrisk,13,2,10,3,0,16,,norisk,10,0,8,2,0,12
minrisk,6,2,4,1,1,9,,norisk,6,2,4,1,1,9
minrisk,0,2,0,0,0,0,,norisk,0,2,0,0,0,0
minrisk,18,1,16,0,2,22,,norisk,18,1,16,0,2,22
minrisk,11,1,7,4,0,15,,norisk,1,0,1,0,0,1
minrisk,8,2,5,1,1,10,,norisk,1,0,1,0,0,1
minrisk,8,1,4,3,1,13,,norisk,8,1,4,3,1,13
minrisk,0,2,0,0,0,0,,norisk,0,2,0,0,0,0
minrisk,11,2,10,1,0,12,,norisk,11,2,10,1,0,12
minrisk,15,2,12,3,0,18,,norisk,10,0,8,2,0,12
minrisk,11,2,8,2,1,15,,norisk,11,2,8,2,1,15
minrisk,17,1,13,4,0,21,,norisk,17,1,13,4,0,21
minrisk,3,2,1,2,0,5,,norisk,3,2,1,2,0,5
minrisk,7,2,5,2,0,9,,norisk,7,2,5,2,0,9
minrisk,10,2,7,1,1,12,,norisk,5,0,5,0,0,5
minrisk,5,2,5,0,0,5,,norisk,5,2,5,0,0,5
minrisk,5,2,3,1,1,8,,norisk,5,2,3,1,1,8
minrisk,10,1,7,3,0,13,,norisk,10,1,7,3,0,13
minrisk,9,2,7,2,0,11,,norisk,9,0,7,2,0,11
minrisk,8,2,7,0,1,10,,norisk,0,0,0,0,0,0
minrisk,3,2,2,0,1,5,,norisk,3,2,2,0,1,5
minrisk,17,1,13,4,0,21,,norisk,17,0,13,4,0,21
minrisk,6,2,5,0,1,8,,norisk,6,2,5,0,1,8
minrisk,9,1,6,2,1,13,,norisk,9,1,6,2,1,13
minrisk,9,2,6,2,0,10,,norisk,9,2,6,2,0,10
minrisk,12,2,8,2,1,15,,norisk,12,2,8,2,1,15
minrisk,10,2,7,2,0,11,,norisk,1,0,1,0,0,1
minrisk,0,2,0,0,0,0,,norisk,0,2,0,0,0,0
minrisk,3,2,2,0,1,5,,norisk,3,2,2,0,1,5
minrisk,15,1,12,2,1,19,,norisk,15,1,12,2,1,19
minrisk,15,1,11,4,0,19,,norisk,6,0,6,0,0,6
minrisk,16,2,12,4,0,20,,norisk,15,0,11,4,0,19
minrisk,16,1,12,3,1,21,,norisk,16,1,12,3,1,21
minrisk,15,1,11,4,0,19,,norisk,6,0,4,2,0,8
minrisk,2,2,1,0,1,4,,norisk,2,2,1,0,1,4
minrisk,12,2,11,0,1,14,,norisk,12,0,11,0,1,14
minrisk,8,2,6,1,1,11,,norisk,8,2,6,1,1,11
minrisk,10,2,8,0,2,14,,norisk,10,2,8,0,2,14
minrisk,4,2,3,0,0,3,,norisk,4,2,3,0,0,3
minrisk,2,2,1,0,1,4,,norisk,2,2,1,0,1,4
minrisk,15,2,14,0,1,17,,norisk,14,0,14,0,0,14
minrisk,16,1,12,4,0,20,,norisk,16,1,12,4,0,20
minrisk,9,1,5,4,0,13,,norisk,5,0,4,1,0,6
minrisk,5,2,4,0,0,4,,norisk,5,2,4,0,0,4
minrisk,9,2,7,1,0,9,,norisk,9,2,7,1,0,9
minrisk,17,1,14,1,2,22,,norisk,17,1,14,1,2,22
minrisk,8,2,4,3,1,13,,norisk,8,2,4,3,1,13
minrisk,13,1,9,4,0,17,,norisk,13,1,9,4,0,17
minrisk,18,1,15,2,1,22,,norisk,18,1,15,2,1,22
minrisk,10,2,7,2,1,14,,norisk,10,2,7,2,1,14
minrisk,2,2,0,2,0,4,,norisk,2,2,0,2,0,4
minrisk,17,1,13,4,0,21,,norisk,5,0,4,1,0,6
minrisk,2,2,2,0,0,2,,norisk,2,2,2,0,0,2
minrisk,3,2,3,0,0,3,,norisk,3,2,3,0,0,3
minrisk,8,2,6,2,0,10,,norisk,8,2,6,2,0,10
minrisk,2,2,1,0,0,1,,norisk,2,2,1,0,0,1
minrisk,1,2,1,0,0,1,,norisk,1,2,1,0,0,1
minrisk,9,2,7,2,0,11,,norisk,9,2,7,2,0,11
minrisk,1,2,1,0,0,1,,norisk,1,2,1,0,0,1
minrisk,5,2,3,1,1,8,,norisk,5,2,3,1,1,8
minrisk,16,1,14,0,2,20,,norisk,16,1,14,0,2,20
minrisk,8,2,7,1,0,9,,norisk,8,2,7,1,0,9
minrisk,11,2,8,3,0,14,,norisk,10,0,8,2,0,12
minrisk,0,2,0,0,0,0,,norisk,0,2,0,0,0,0
minrisk,7,2,6,1,0,8,,norisk,5,0,4,1,0,6
minrisk,1,2,1,0,0,1,,norisk,1,2,1,0,0,1
minrisk,15,1,11,4,0,19,,norisk,15,1,11,4,0,19
minrisk,4,2,3,1,0,5,,norisk,4,2,3,1,0,5
minrisk,18,1,16,0,2,22,,norisk,17,0,16,0,1,19
minrisk,0,2,0,0,0,0,,norisk,0,2,0,0,0,0
,,Count:,1319,272,116,,,,,Count:,1227,225,105,
,,Total:,1319,544,348,,,,,Total:,1227,450,315,
,,Average round score:,,,,11.055,,,,Average round score:,,,,9.96
,,,,,,,,,,,,,,
Wins:,,69,,,,,,,Wins:,46,,,,
Losses:,,131,,,,,,,Losses:,100,,,,
Withdraws:,,0,,,,,,,Withdraws:,54,,,,
